Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
3965,0,10.32,1.92,57.74,98.08,train maintenance station delay,train maintenance station delay,train maintenance station delay,rsa,,train maintenance station delay,success,Secure
3966,0,5.47,0.78,50.6,99.22,arriving arriving arriving delay,arriving arriving arriving delay,arriving arriving arriving delay,rsa,,arriving arriving arriving delay,failure,Not Secure
3967,1,10.42,0.28,54.03,99.72,departing station arriving departing train,departing station arriving departing trajn,departing station arriving departing train,rsa,,departing station arriving departing train,success,Secure
3968,1,8.64,0.48,55.57,99.52,departing maintenance station station station arriving,departing manntenance station station station arriving,departing maintenance station station station arriving,,,departing maintenance station station station arriving,failure,Not Secure
3969,0,5.96,1.27,57.04,98.73,station departing delay train arriving station,station departing delay train arriving station,station departing delay train arriving station,,,station departing delay train arriving station,failure,Not Secure
3970,0,5.19,1.87,57.48,98.13,maintenance delay,maintenance delay,maintenance delay,rsa,,maintenance delay,failure,Not Secure
3971,0,13.77,1.04,51.72,98.96,arriving maintenance departing station,arriving maintenance departing station,arriving maintenance departing station,rsa,,arriving maintenance departing station,success,Secure
3972,0,11.3,0.86,57.44,99.14,arriving arriving arriving train,arriving arriving arriving train,arriving arriving arriving train,blowfish,,arriving arriving arriving train,success,Secure
3973,1,11.89,0.52,56.64,99.48,station maintenance train delay station maintenance,station maintenance txain delay station maintenance,station maintenance train delay station maintenance,,,station maintenance train delay station maintenance,failure,Not Secure
3974,0,11.8,0.2,57.81,99.8,departing train,departing train,departing train,rsa,,departing train,failure,Not Secure
3975,1,7.9,0.56,51.63,99.44,train maintenance delay,traix maintenance delay,train maintenance delay,,gaaaaabnlgim2x9m9xhm9cmfavg6qezi9xodjlyf09wdfj93,train maintenance delay,failure,Not Secure
3976,0,8.7,1.91,53.55,98.09,arriving station station station,arriving station station station,arriving station station station,rsa,,arriving station station station,success,Secure
3977,0,8.32,0.38,57.75,99.62,station train train train maintenance,station train train train maintenance,station train train train maintenance,,,station train train train maintenance,failure,Not Secure
3978,0,12.57,0.47,55.44,99.53,departing departing train arriving,departing departing train arriving,departing departing train arriving,blowfish,,departing departing train arriving,failure,Not Secure
3979,0,14.6,0.19,54.95,99.81,delay maintenance departing train train departing,delay maintenance departing train train departing,delay maintenance departing train train departing,rsa,,delay maintenance departing train train departing,success,Secure
3980,0,8.05,1.6,52.24,98.4,maintenance delay train delay,maintenance delay train delay,maintenance delay train delay,blowfish,,maintenance delay train delay,success,Secure
3981,0,10.08,1.03,57.72,98.97,departing delay,departing delay,departing delay,rsa,,departing delay,failure,Not Secure
3982,0,12.56,1.27,54.54,98.73,maintenance station departing maintenance train,maintenance station departing maintenance train,maintenance station departing maintenance train,,,maintenance station departing maintenance train,success,Secure
3983,0,6.72,0.11,51.79,99.89,delay departing station train station arriving,delay departing station train station arriving,delay departing station train station arriving,rsa,,delay departing station train station arriving,failure,Not Secure
3984,0,5.49,0.84,59.71,99.16,maintenance departing maintenance arriving train,maintenance departing maintenance arriving train,maintenance departing maintenance arriving train,blowfish,,maintenance departing maintenance arriving train,success,Secure
3985,0,7.77,0.58,58.85,99.42,arriving departing delay station departing,arriving departing delay station departing,arriving departing delay station departing,blowfish,,arriving departing delay station departing,failure,Not Secure
3986,0,13.39,1.36,57.89,98.64,arriving arriving train departing train delay,arriving arriving train departing train delay,arriving arriving train departing train delay,,,arriving arriving train departing train delay,failure,Not Secure
3987,0,11.48,1.09,58.07,98.91,maintenance train station maintenance departing,maintenance train station maintenance departing,maintenance train station maintenance departing,,,maintenance train station maintenance departing,failure,Not Secure
3988,0,11.63,1.02,50.1,98.98,train departing,train departing,train departing,rsa,,train departing,success,Secure
3989,0,14.44,1.94,53.41,98.06,arriving delay maintenance delay,arriving delay maintenance delay,arriving delay maintenance delay,rsa,,arriving delay maintenance delay,failure,Not Secure
3990,0,14.34,0.16,50.09,99.84,station arriving train station,station arriving train station,station arriving train station,,,station arriving train station,failure,Not Secure
3991,1,13.17,0.85,54.52,99.15,station maintenance maintenance departing arriving station arriving,station maintenavce maintenance departing arriving station arriving,station maintenance maintenance departing arriving station arriving,rsa,,station maintenance maintenance departing arriving station arriving,success,Secure
3992,0,8.38,0.39,54.15,99.61,train departing delay departing,train departing delay departing,train departing delay departing,rsa,,train departing delay departing,success,Secure
3993,1,14.74,0.68,51.9,99.32,delay train maintenance train station maintenance,delay train maintenance train station kaintenance,delay train maintenance train station maintenance,,,delay train maintenance train station maintenance,failure,Not Secure
3994,0,12.92,0.9,57.41,99.1,departing train station train station,departing train station train station,departing train station train station,rsa,,departing train station train station,success,Secure
3995,0,10.28,1.95,56.66,98.05,maintenance delay station,maintenance delay station,maintenance delay station,blowfish,,maintenance delay station,success,Secure
3996,0,12.12,1.71,55.17,98.29,delay delay station arriving station maintenance,delay delay station arriving station maintenance,delay delay station arriving station maintenance,rsa,,delay delay station arriving station maintenance,success,Secure
3997,1,14.91,1.19,52.96,98.81,train arriving arriving,train arriving,train arriving arriving,blowfish,,train arriving arriving,failure,Not Secure
3998,0,7.81,1.38,59.31,98.62,arriving station delay arriving delay train arriving,arriving station delay arriving delay train arriving,arriving station delay arriving delay train arriving,blowfish,,arriving station delay arriving delay train arriving,success,Secure
3999,0,10.37,0.09,58.35,99.91,delay delay delay delay,delay delay delay delay,delay delay delay delay,blowfish,,delay delay delay delay,failure,Not Secure
4000,0,11.18,0.61,54.62,99.39,maintenance train delay train delay,maintenance train delay train delay,maintenance train delay train delay,blowfish,,maintenance train delay train delay,failure,Not Secure
4001,0,9.94,0.26,52.43,99.74,delay train station maintenance train,delay train station maintenance train,delay train station maintenance train,,,delay train station maintenance train,success,Secure
4002,0,7.45,1.91,57.64,98.09,maintenance arriving maintenance,maintenance arriving maintenance,maintenance arriving maintenance,blowfish,,maintenance arriving maintenance,success,Secure
